trip_id,start_time,end_time,headway_secs
"5","06:00:00","07:00:00","360"
"5","07:00:00","09:00:00","207"
"5","09:00:00","09:30:00","360"
"5","09:30:00","16:00:00","360"
"5","16:00:00","16:30:00","360"
"5","16:30:00","17:00:00","360"
"5","17:00:00","20:00:00","207"
"5","20:00:00","21:00:00","360"
"5","21:00:00","22:00:00","360"
"5","22:00:00","24:00:00","480"
"6","06:00:00","07:00:00","360"
"6","07:00:00","09:00:00","207"
"6","09:00:00","09:30:00","360"
"6","09:30:00","16:00:00","360"
"6","16:00:00","16:30:00","360"
"6","16:30:00","17:00:00","360"
"6","17:00:00","20:00:00","207"
"6","20:00:00","21:00:00","360"
"6","21:00:00","22:00:00","360"
"6","22:00:00","24:00:00","480"
"7","06:00:00","08:00:00","420"
"7","08:00:00","09:00:00","420"
"7","09:00:00","11:00:00","324"
"7","11:00:00","21:00:00","324"
"7","21:00:00","22:00:00","420"
"7","22:00:00","24:00:00","480"
"8","06:00:00","08:00:00","420"
"8","08:00:00","09:00:00","420"
"8","09:00:00","11:00:00","324"
"8","11:00:00","21:00:00","324"
"8","21:00:00","22:00:00","420"
"8","22:00:00","24:00:00","480"
"9","06:45:00","07:30:00","1200"
"9","16:00:00","16:30:00","1500"
"10","06:45:00","07:30:00","1200"
"10","16:00:00","16:30:00","1500"
"11","06:15:00","06:45:00","1800"
"11","06:45:00","07:15:00","900"
"11","07:15:00","07:40:00","1500"
"11","07:40:00","09:10:00","1800"
"11","09:10:00","15:00:00","21000"
"11","15:00:00","16:00:00","900"
"11","16:00:00","17:20:00","1200"
"11","17:20:00","18:10:00","1500"
"12","06:00:00","07:00:00","1200"
"12","07:00:00","07:45:00","900"
"12","07:45:00","08:10:00","1500"
"12","08:10:00","09:10:00","1800"
"12","09:10:00","09:20:00","600"
"12","09:20:00","15:20:00","21600"
"12","15:20:00","17:20:00","1200"
"12","17:20:00","18:10:00","1500"
"13","08:30:00","09:10:00","2400"
"13","09:10:00","09:40:00","1800"
"13","09:40:00","15:20:00","20400"
"13","15:20:00","17:00:00","1200"
"13","17:00:00","17:15:00","900"
"13","17:15:00","17:40:00","1500"
"14","07:30:00","08:00:00","1800"
"14","08:00:00","08:40:00","2400"
"14","08:40:00","09:00:00","1200"
"14","09:00:00","09:10:00","600"
"14","09:10:00","09:40:00","1800"
"14","09:40:00","15:15:00","20100"
"14","15:15:00","15:40:00","1500"
"14","15:40:00","17:00:00","1200"
